country,iso_code,co2
Sierra Leone,SLE,1.278
Singapore,SGP,47.873
Sint Maarten (Dutch part),SXM,0.664
Slovakia,SVK,31.55
Slovenia,SVN,12.701
Solomon Islands,SLB,0.296
Somalia,SOM,0.56
South Africa,ZAF,405.312
South Korea,KOR,602.092
South Sudan,SSD,1.588
Spain,ESP,234.657
Sri Lanka,LKA,19.903
Sudan,SDN,20.24
Suriname,SUR,2.64
Sweden,SWE,37.474
Switzerland,CHE,32.819
Syria,SYR,25.314
Taiwan,TWN,273.669
Tajikistan,TJK,8.966
Tanzania,TZA,17.736
Thailand,THA,272.573
Togo,TGO,2.682
Tonga,TON,0.195
Trinidad and Tobago,TTO,36.306
Tunisia,TUN,31.948
Turkey,TUR,437.305
Turkmenistan,TKM,64.154
Turks and Caicos Islands,TCA,0.355
Tuvalu,TUV,0.011
Uganda,UGA,5.638
Ukraine,UKR,141.126
United Arab Emirates,ARE,225.977
United Kingdom,GBR,313.835
United States,USA,5078.871
Uruguay,URY,7.82
Uzbekistan,UZB,125.039
Vanuatu,VUT,0.221
Venezuela,VEN,87.515
Vietnam,VNM,297.634
Wallis and Futuna,WLF,0.03
Yemen,YEM,10.296
Zambia,ZMB,7.522
Zimbabwe,ZWE,10.425
